time_sec,bus_id,stop_idx,onboard,headway_min
19920.000000,1,7,2126,1.533333
19920.000000,2,7,2127,1.566667
19920.000000,3,7,2123,1.533333
19920.000000,4,7,2122,1.566667
19980.000000,0,7,2128,2.566667
19980.000000,1,7,2126,2.533333
19980.000000,2,7,2127,2.566667
19980.000000,3,7,2123,2.533333
19980.000000,4,7,2122,2.566667
20040.000000,0,7,2128,3.566667
20040.000000,1,7,2126,3.533333
20040.000000,2,7,2127,3.566667
20040.000000,3,7,2123,3.533333
20040.000000,4,7,2122,3.566667
20100.000000,0,7,2128,4.566667
20100.000000,1,7,2126,4.533333
20100.000000,2,7,2127,4.566667
20100.000000,3,7,2123,4.533333
20100.000000,4,7,2122,4.566667
20160.000000,0,8,2145,5.566667
20160.000000,1,8,2144,5.533333
20160.000000,2,8,2144,5.566667
20160.000000,3,8,2141,5.533333
20160.000000,4,8,2140,5.566667
20220.000000,0,8,2174,0.033333
20220.000000,1,8,2173,0.000000
20220.000000,2,8,2172,0.000000
20220.000000,3,8,2170,0.033333
20220.000000,4,8,2169,0.000000
20280.000000,0,8,2174,1.033333
20280.000000,1,8,2173,1.000000
20280.000000,2,8,2172,1.000000
20280.000000,3,8,2170,1.033333
20280.000000,4,8,2169,1.000000
20340.000000,0,8,2174,2.033333
20340.000000,1,8,2173,2.000000
20340.000000,2,8,2172,2.000000
20340.000000,3,8,2170,2.033333
20340.000000,4,8,2169,2.000000
20400.000000,0,8,2174,3.033333
20400.000000,1,8,2173,3.000000
20400.000000,2,8,2172,3.000000
20400.000000,3,8,2170,3.033333
20400.000000,4,8,2169,3.000000
20460.000000,0,8,2174,4.033333
20460.000000,1,8,2173,4.000000
20460.000000,2,8,2172,4.000000
20460.000000,3,8,2170,4.033333
20460.000000,4,8,2169,4.000000
20520.000000,0,8,2174,5.033333
20520.000000,1,9,2174,5.000000
20520.000000,2,9,2174,5.000000
20520.000000,3,8,2170,5.033333
20520.000000,4,9,2171,5.000000
20580.000000,0,9,2204,6.033333
20580.000000,1,9,2204,6.000000
20580.000000,2,9,2203,6.000000
20580.000000,3,9,2200,6.033333
20580.000000,4,9,2200,6.000000
20640.000000,0,9,2224,0.333333
20640.000000,1,9,2224,0.333333
20640.000000,2,9,2223,0.300000
20640.000000,3,9,2221,0.333333
20640.000000,4,9,2220,0.333333
20700.000000,0,9,2224,1.333333
