time_sec,bus_id,headway_min
19726.000000,4,5.000000
19728.000000,0,5.033333
19728.000000,1,5.000000
20126.000000,4,5.000000
20126.000000,1,4.966667
20126.000000,3,4.966667
20128.000000,2,5.033333
20128.000000,0,5.033333
20518.000000,2,4.966667
20518.000000,4,4.966667
20520.000000,1,5.000000
20520.000000,0,5.033333
20520.000000,3,5.033333
20920.000000,4,5.000000
20920.000000,0,5.000000
20920.000000,3,5.000000
20920.000000,2,4.966667
20922.000000,1,5.033333
21322.000000,3,4.966667
21322.000000,0,4.966667
21324.000000,1,5.033333
21324.000000,2,5.000000
21324.000000,4,5.033333
21710.000000,0,5.000000
21710.000000,3,5.000000
21710.000000,1,5.000000
21710.000000,4,5.000000
21710.000000,2,5.000000
22104.000000,0,4.966667
22104.000000,3,4.966667
22104.000000,1,5.000000
22106.000000,4,5.033333
22106.000000,2,5.033333
22490.000000,4,5.000000
22490.000000,2,4.966667
22490.000000,3,5.000000
22490.000000,0,5.000000
22492.000000,1,5.033333
22888.000000,2,5.000000
22888.000000,4,5.000000
22888.000000,3,5.000000
22888.000000,0,5.000000
22888.000000,1,5.000000
23276.000000,1,4.966667
23276.000000,2,5.000000
23278.000000,3,5.033333
23278.000000,4,5.000000
23278.000000,0,5.000000
23668.000000,3,4.966667
23668.000000,0,5.000000
23668.000000,4,5.000000
23670.000000,1,5.033333
23670.000000,2,5.000000
24060.000000,0,4.966667
24060.000000,2,5.000000
24060.000000,1,5.000000
24060.000000,3,5.000000
24062.000000,4,5.033333
24458.000000,3,4.966667
24460.000000,1,5.000000
24460.000000,4,5.033333
24460.000000,2,5.000000
24460.000000,0,5.000000
24860.000000,1,5.000000
24860.000000,4,5.000000
24860.000000,0,5.000000
24860.000000,3,4.966667
24862.000000,2,5.033333
25258.000000,4,4.966667
25260.000000,0,5.033333
25260.000000,2,5.000000
25260.000000,3,5.000000
25260.000000,1,5.000000
25658.000000,4,5.000000
25658.000000,3,5.000000
25658.000000,0,5.000000
25658.000000,1,5.000000
25658.000000,2,5.000000
26056.000000,2,4.966667
26058.000000,1,5.000000
26058.000000,4,5.000000
26058.000000,0,5.000000
26058.000000,3,5.033333
26464.000000,2,5.000000
26464.000000,3,5.000000
26464.000000,1,4.966667
26466.000000,4,5.033333
26466.000000,0,5.000000
26866.000000,1,5.000000
26866.000000,3,5.000000
26866.000000,2,5.000000
26866.000000,0,4.966667
26868.000000,4,5.033333
27262.000000,2,4.966667
27264.000000,0,5.000000
27264.000000,3,5.033333
27264.000000,1,5.000000
27264.000000,4,5.000000
27664.000000,4,4.966667
27666.000000,2,5.000000
27666.000000,0,5.033333
27666.000000,1,5.000000
27666.000000,3,5.000000
28072.000000,2,4.966667
28072.000000,3,5.000000
28072.000000,4,5.000000
28072.000000,0,5.000000
28074.000000,1,5.033333
28462.000000,3,4.966667
28464.000000,1,5.000000
28464.000000,0,5.000000
28464.000000,2,5.000000
28464.000000,4,5.033333
